algorithm_name,env_n,size,best_solution,H,states,time
SA,24,8,"[3, 7, 0, 4, 6, 1, 5, 2]",0,1500,0.028514385223388672
GA,24,8,"[1, 7, 5, 0, 2, 4, 6, 3]",0,64,0.061861276626586914
random,25,8,"[5, 5, 1, 4, 0, 7, 3, 6]",2,2000,0.02189016342163086
HC,25,8,"[2, 4, 1, 7, 5, 3, 0, 7]",1,4,0.009644031524658203
SA,25,8,"[7, 2, 0, 5, 1, 4, 6, 3]",0,150,0.002531766891479492
GA,25,8,"[2, 4, 1, 7, 5, 3, 6, 0]",0,701,0.5469856262207031
random,26,8,"[1, 4, 0, 3, 6, 2, 5, 2]",1,2000,0.021475791931152344
HC,26,8,"[4, 0, 1, 5, 7, 2, 6, 3]",1,3,0.00649714469909668
SA,26,8,"[5, 3, 0, 4, 7, 1, 6, 2]",0,142,0.0030465126037597656
GA,26,8,"[4, 6, 0, 5, 3, 1, 7, 2]",1,1999,1.5572340488433838
random,27,8,"[7, 0, 0, 2, 5, 1, 6, 4]",2,2000,0.02400517463684082
HC,27,8,"[6, 1, 2, 5, 7, 0, 4, 3]",2,4,0.006388187408447266
SA,27,8,"[3, 1, 6, 2, 5, 7, 0, 4]",0,191,0.003785848617553711
GA,27,8,"[7, 7, 4, 1, 5, 0, 6, 3]",1,1999,1.4648990631103516
random,28,8,"[5, 3, 0, 7, 7, 2, 1, 6]",2,2000,0.021553516387939453
HC,28,8,"[5, 0, 2, 6, 2, 7, 1, 3]",1,4,0.006524562835693359
SA,28,8,"[6, 1, 5, 2, 0, 3, 7, 4]",0,163,0.002640247344970703
GA,28,8,"[5, 1, 6, 0, 2, 4, 7, 3]",0,404,0.3181798458099365
random,29,8,"[2, 5, 3, 7, 0, 3, 1, 4]",2,2000,0.023128509521484375
HC,29,8,"[6, 4, 7, 5, 0, 2, 1, 7]",2,3,0.005873203277587891
SA,29,8,"[5, 3, 6, 0, 2, 4, 1, 7]",0,384,0.006984710693359375
GA,29,8,"[5, 7, 4, 0, 2, 6, 1, 3]",1,1999,1.4573934078216553
random,0,10,"[9, 2, 4, 7, 1, 8, 6, 3, 0, 4]",3,2000,0.035900115966796875
HC,0,10,"[7, 3, 6, 2, 2, 5, 3, 8, 4, 9]",3,3,0.008078336715698242
SA,0,10,"[7, 0, 3, 8, 6, 9, 2, 5, 1, 4]",0,645,0.018225431442260742
GA,0,10,"[5, 1, 4, 6, 3, 9, 2, 8, 2, 7]",1,1999,2.1838176250457764
random,1,10,"[0, 7, 8, 6, 1, 9, 5, 0, 6, 3]",4,2000,0.042349815368652344
HC,1,10,"[9, 3, 1, 7, 4, 8, 1, 5, 2, 6]",2,3,0.009046554565429688
SA,1,10,"[6, 9, 5, 2, 0, 7, 3, 1, 8, 4]",0,644,0.01860213279724121
GA,1,10,"[5, 1, 6, 4, 0, 7, 3, 9, 2, 8]",1,1999,2.12062406539917
random,2,10,"[0, 7, 0, 3, 9, 2, 5, 8, 1, 5]",3,2000,0.03211569786071777
